year;date;time;y;x;type;injured;died
2021;26.2.2021;16:10:00;42,68713;23,23287;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;26.2.2021;16:10:00;42,68713;23,23287;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;26.2.2021;15:50:00;42,65359;23,33653;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;26.2.2021;16:30:00;42,71717;23,28008;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;26.2.2021;16:30:00;42,71717;23,28008;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;23.2.2021;16:20:00;42,65979;23,27746;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;26.2.2021;17:00:00;42,64812;23,37819;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;26.2.2021;17:00:00;42,64812;23,37819;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;26.2.2021;17:00:00;42,64812;23,37819;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;8.1.2021;14:30:00;42,66499;23,36313;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;8.1.2021;14:30:00;42,66499;23,36313;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;26.2.2021;18:00:00;42,69655;23,35993;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;26.2.2021;18:00:00;42,69655;23,35993;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;26.2.2021;19:00:00;42,65045;23,39237;БЛЪСКАНЕ НА ЖИВОТНО;не;не
2021;26.2.2021;19:45:00;42,71016;23,33438;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;26.2.2021;19:45:00;42,71016;23,33438;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;26.2.2021;20:00:00;42,728;23,25984;БЛЪСКАНЕ В ПРЕПЯТСТВИЕ НА ПЪТЯ;не;не
2021;26.2.2021;21:00:00;42,73286;23,31523;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;2.1.2021;16:30:00;42,67617;23,26602;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;2.1.2021;16:30:00;42,67617;23,26602;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;8.1.2021;15:15:00;42,69087;23,31824;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;8.1.2021;15:15:00;42,69087;23,31824;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;26.2.2021;21:40:00;42,65016;23,34206;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;26.2.2021;21:40:00;42,65016;23,34206;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;26.2.2021;22:15:00;42,7329;23,25157;СБЛЪСКВАНЕ МЕЖДУ МПС ЧЕЛНО;не;не
2021;26.2.2021;22:15:00;42,7329;23,25157;СБЛЪСКВАНЕ МЕЖДУ МПС ЧЕЛНО;не;не
2021;26.2.2021;21:10:00;42,68208;23,32166;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;26.2.2021;21:10:00;42,68208;23,32166;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;5:10:00;42,6673;23,35963;ДРУГ ВИД ПТП;не;не
2021;27.2.2021;8:00:00;42,70258;23,38261;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;27.2.2021;8:40:00;42,73309;23,25125;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;27.2.2021;8:40:00;42,73309;23,25125;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;26.2.2021;17:00:00;42,71892;23,27186;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;27.2.2021;10:00:00;42,6639;23,42551;ДРУГ ВИД ПТП;не;не
2021;27.2.2021;11:10:00;42,71701;23,24912;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;27.2.2021;11:10:00;42,71701;23,24912;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;27.2.2021;11:50:00;42,64034;23,41296;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;11:50:00;42,64034;23,41296;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;12:30:00;42,67782;23,27158;ДРУГ ВИД ПТП;не;не
2021;27.2.2021;12:45:00;42,70933;23,41995;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
