year;date;time;y;x;type;injured;died
2021;2.3.2021;8:15:00;42,67125;23,32647;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;2.3.2021;8:40:00;42,67469;23,29609;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;2.3.2021;8:40:00;42,67469;23,29609;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;8.1.2021;19:50:00;42,71045;23,32181;БЛЪСКАНЕ В ПРЕДПАЗНА ОГРАДА;не;не
2021;2.3.2021;9:20:00;42,64995;23,37142;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;2.3.2021;9:20:00;42,64995;23,37142;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;2.3.2021;10:30:00;42,7121;23,23151;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;2.3.2021;10:30:00;42,7121;23,23151;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;2.3.2021;11:30:00;42,71234;23,23168;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;2.3.2021;11:30:00;42,71234;23,23168;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;2.3.2021;9:45:00;42,72935;23,25815;ПАДАНЕ НА ПЪТНИК;не;не
2021;2.3.2021;9:45:00;42,72935;23,25815;ПАДАНЕ НА ПЪТНИК;да;не
2021;2.3.2021;12:15:00;42,68885;23,31516;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;2.3.2021;12:15:00;42,68885;23,31516;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;2.3.2021;12:15:00;42,68885;23,31516;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;2.3.2021;13:40:00;42,6678;23,36828;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;2.3.2021;13:40:00;42,6678;23,36828;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;2.3.2021;14:00:00;42,69227;23,33409;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;2.3.2021;14:00:00;42,69227;23,33409;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;2.3.2021;14:00:00;42,64405;23,30726;БЛЪСКАНЕ В ПРЕПЯТСТВИЕ НА ПЪТЯ;не;не
